SpeciesID,Taxon,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer
42,Stylactis sp,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Hydractiniidae,,,Stylactis,,,
43,Monobrachium parasitum,CNIDARIA,,Hydrozoa,Anthoathecatae,,,Filifera,,,,Olindiidae,,,Monobrachium,,parasitum,Mereschkovsky 1877
44,Campanularia volubilis,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,,Campanularia,,volubilis,(Linnaeus 1758)
45,Clytia universitatis,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,,Clytia,,universitatis,Torrey 1904
46,Laomedea calceolifera,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,,Laomedea,,calceolifera,(Hincks 1871)
47,Obelia geniculata,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,,Obelia,,geniculata,(Linnaeus 1758)
48,Orthopyxis everta,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,,Orthopyxis,,everta,(S. F. Clark 1876)
49,Rhizocaulus verticillatus,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,,Rhizocaulus,,verticillatus,(Linnaeus 1758)
50,Lovenella nodosa,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Lovenellidae,,,Lovenella,,nodosa,Fraser 1938
51,Plumalecium plumularioides,CNIDARIA,,Hydrozoa,Hydroidolina,,,Leptothecata,,,Plumarioidea,Plumaleciidae,,,Plumalecium,,plumularioides,(S. F. Clark 1876)
52,Pycnotheca allmani,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Kirchenpaueriidae,,,Pycnotheca,,allmani,(Torrey 1902)
53,Campanulina sp,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Campanulinidae,,,Campanulina,,,
54,Calycella syringa,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Calycellidae,,,Calycella,,syringa,(Linnaeus 1767)
55,Aglaophenia sp A,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Aglaopheniidae,,,Aglaophenia,,sp A,(MEC 1990) §
56,Plumularia integra,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Plumulariidae,,,Plumularia,,integra,Fraser 1948
57,Plumularia setacea,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Plumulariidae,,,Plumularia,,setacea,(Linnaeus 1758)
58,Abietinaria expansa,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,,Abietinaria,,expansa, Fraser 1938
59,Dynamena pumila,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,,Dynamena,,pumila,(Linnaeus 1768)
60,Thuiaria cylindrica,CNIDARIA,,Hydrozoa,Hydroidolina,,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Thuiaria,,cylindrica,S. F. Clark 1877
61,Symplectoscyphus pedrensis,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,,Symplectoscyphus,,pedrensis,(Torrey 1904)
62,Egmundella gracilis,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,,,,Egmundella,,gracilis,Stechow 1921
63,Egmundella polynema,CNIDARIA,,Hydrozoa,Hydroidolina,,,Leptothecata,,,uncertain,Campanulinidae,,,Egmundella,,polynema,Fraser 1948
